Country,Name,Type
Spain,Barcelona International Airport,airport
Spain,Getafe Air Base,airport
Spain,Adolfo Suárez Madrid–Barajas Airport,airport
Spain,Torrejón Airport,airport
Spain,Cuatro Vientos,unknown
Venezuela,General José Antonio Anzoategui International Airport,airport
Spain,Barcelona Cruise Terminal,unknown
Spain,Atocha,unknown
Spain,Chamartin Station,station
Spain,Aeroport,unknown
Spain,Passeig de Gracia,unknown
Spain,Sants,unknown
Spain,Barajas Station,station
Spain,Aeropuerto T4 Madrid Metro,unknown
Spain,Estacio de Franca,unknown
Spain,Placa d Espanya Station,station
Spain,Cuatro Vientos Airport,airport
Spain,Barcelona-Sants,
Spain,Madrid Estacion Sur,
